"27";"Tom van Kalmthout";"Rundfunk";NULL;"27profile.jpg";;NULL;NULL;NULL;NULL;NULL;"https://twitter.com/tomvankalmthout";NULL;NULL;"https://nl.wikipedia.org/wiki/Tom_van_Kalmthout"
"28";"Yannick van de Velde";"Rundfunk";NULL;"28profile.jpg";;NULL;NULL;"https://www.facebook.com/yannick.vandevelde.7";NULL;NULL;NULL;NULL;NULL;"https://nl.wikipedia.org/wiki/Yannick_van_de_Velde"
"29";"Nick";"Gewoon Nick";NULL;"29profile.jpg";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"30";"Arjen Lubach";"TV Presentator";NULL;"30profile.jpg";;NULL;"http://www.arjenlubach.nl/";"https://www.facebook.com/arjenlubach/";NULL;NULL;"https://twitter.com/arjenlubach";NULL;"https://www.youtube.com/user/arjenlubachpuntnl";"https://nl.wikipedia.org/wiki/Arjen_Lubach"
"31";"Reggie";"Biem Meneer";NULL;"31profile.jpg";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"32";"Tim Haars";;NULL;"32profile.jpg";;NULL;NULL;NULL;NULL;NULL;"https://twitter.com/tim_haars";NULL;NULL;"https://nl.wikipedia.org/wiki/Tim_Haars"
"33";"Bo Maerten";;NULL;"33profile.jpg";;NULL;NULL;NULL;"https://www.instagram.com/bomaerten/";NULL;NULL;NULL;NULL;"https://nl.wikipedia.org/wiki/Bo_Maerten"
"34";"Tobias";"De liefste Marokkaan";NULL;"34profile.jpg";;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"35";"Geraldine Kemper";"Televisiepresentatrice";NULL;"35profile.jpg";;NULL;NULL;"https://www.facebook.com/geraldine.kemper/";"https://www.instagram.com/geraldine_kemper/";NULL;"https://twitter.com/geraldinekemper";NULL;NULL;"https://nl.wikipedia.org/wiki/Geraldine_Kemper"
"36";"Igmar Felicia";"Radio DJ";NULL;"36profile.jpg";;NULL;"https://www.slam.nl/igmar-felicia/";"https://www.facebook.com/igmar.felicia";NULL;NULL;"https://twitter.com/igmarfelicia";NULL;"https://www.youtube.com/user/BijIgmar";NULL
"37";"Joep Schrijvers";"Radio DJ";NULL;"37profile.jpg";;NULL;NULL;NULL;NULL;NULL;"https://twitter.com/joepschrijvers";NULL;NULL;NULL
"38";"Jullie";"Stagair";NULL;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"39";"Henry van Loon";"Acteur";NULL;"38profile.jpg";;NULL;NULL;NULL;NULL;NULL;"https://twitter.com/henryvanloon";NULL;"https://www.youtube.com/channel/UC0bjrC1t4EkXvx2l1NiC3-A";"https://nl.wikipedia.org/wiki/Henry_van_Loon"
"40";"Geen idee";"Naamloos";NULL;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"41";"Kaas de fries";"Reaguurder van het jaar";NULL;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"42";"Bumber";"Politie hond";NULL;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"43";;"baasje van bumber";NULL;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"44";"Silvana";;NULL;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"45";"Dimitrie";"Kont eter";NULL;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"46";"Jeukende bilnaad 88";;NULL;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"47";;"Broertje van";NULL;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"48";;"De vriendding van kwebbel Kont";NULL;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"49";"Snollebollekes";;NULL;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"50";"Berend-Jan ";"reppert Walu";NULL;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"51";"EenhoornJoost";"Rapper";NULL;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"52";"René van Meurs";"Grappig persoon";NULL;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"53";"Mellisa";"De bandieten beuker";NULL;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"54";"maarten";"Dumpert date";NULL;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"55";"Rembo";;NULL;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"56";"Jody Bernal";;NULL;NULL;;NULL;NULL;"https://www.facebook.com/jodybernalofficial/";NULL;NULL;NULL;NULL;"https://www.youtube.com/channel/UCeOTN7wS9-2Z6GvhFJhKg4A";"https://nl.wikipedia.org/wiki/Jody_Bernal"
"57";"Mastermilo";;NULL;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"https://www.youtube.com/channel/UC3eSiX_rjJk2jg5EJSBcqBw";NULL
"58";"Darkraver";;NULL;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"59";"Outsiders";;NULL;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"60";"MaximBady";;NULL;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"61";"Rayen Panday";;NULL;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"62";"Stefan Pop";;NULL;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"63";"Simon Zijlemans";"Presentator ";NULL;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"64";"Joel Beukers ";;NULL;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"65";"Wutru";;NULL;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"66";"Ryanne van Dorst";;NULL;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"67";"Jutta Leerdam";"Schaatser";NULL;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"68";"Koen Verweij";;NULL;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"69";"Mr. Polska";;NULL;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"70";"Steven Kazán";;NULL;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"71";"Esley";"Marketing mevrouw";NULL;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
"72";"Bram Krikken";;NULL;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
